listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/57355.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",780 000 DT,S+5 en vente,Monastir - Cité El Agba,5 pièces,240 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/59688.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",255 000 DT,S+3 en vente,Monastir - Cité El Agba,4 pièces,112 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/59982.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",259 000 DT,S+3 en vente,Monastir - Cité El Agba,4 pièces,114 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/56429.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",215 000 DT,S+1 en vente,Monastir - Cité El Agba,1 pièce,58 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/sahline/60351.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",125 000 DT,S+2 en vente,"Sahline, Rue sahlin",3 pièces,68 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/60308.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 600 000 DT,Villa individuelle en vente,"Sahline, Zone de lac",21825 m²,21825 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/60391.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",115 000 DT,Maison jumelée en vente,"Sahline, Rue Sahline",3 pièces,88 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/61069.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",280 000 DT,Maison jumelée en vente,"Sahline, Rue sahline",4 pièces,380 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/53247.html,https://cdn-media.medialabtc.it/tn/agencies/moca4/estates/53247/images/270760/gallery_media.jpeg,249 750 DT,Terrain habitation ind. en vente,"Sahline, Rue Sahline",555 m²,555 m²
https://www.tecnocasa.tn/vendre/villa/monastir/monastir/60815.html,https://cdn-media.medialabtc.it/tn/agencies/moca2/estates/60815/images/343690/gallery_media.jpeg,275 000 DT,Villa jumelée en vente,"Monastir, Rue yasmine - C2",110 m²,110 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/52918.html,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/52918/images/286295/gallery_media.jpeg,320 000 DT,Terrain habitation ind. en vente,Bekalta,580 m²,580 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/35732.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2 226 150 DT,Villa individuelle en vente,"Sahline, Rue sahline",9541 m²,9541 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/52343.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",470 000 DT,Villa jumelée en vente,"Sahline, Rue Sahline",144 m²,144 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/52345.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",470 000 DT,Villa individuelle en vente,"Sahline, Rue Sahline",140 m²,140 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/49404.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",730 000 DT,Villa jumelée en vente,Ksar Hellal,5 pièces,417 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/54646.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",710 000 DT,Villa individuelle en vente,Ksar Hellal,4 pièces,475 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/47002.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",199 000 DT,Maison jumelée en vente,Ksar Hellal,275 m²,275 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/42587.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",333 000 DT,Terrain habitation ind. en vente,"Sahline, Rue Matmeur",555 m²,555 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/60195.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",95 000 DT,Terrain agricole en vente,"Monastir, Rue sahline - Motamar",1615 m²,1615 m²
https://www.tecnocasa.tn/vendre/villa/monastir/sahline/60449.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",300 000 DT,Villa inachevée en vente,"Sahline, Rue sahline",250 m²,250 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/60293.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",115 000 DT,Terrain habitation collective en vente,"Sahline, Rue sahline",186 m²,186 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/60188.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",125 500 DT,Terrain habitation ind. en vente,"Sahline, Rue sahline",251 m²,251 m²
