listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size,city
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-manouba/58436.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",310 000 DT,S+2 en vente,"La Manouba, Takasim masmoudi LA MANOUBA (gt) 2011 - Manouba",3 pièces,105 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ben-arous/61652.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",120 000 DT,S+2 en vente,Ben Arous,52 m²,52 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ennasr/61733.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",395 000 DT,S+3 en vente,Ennasr - Ennasr 2,4 pièces,180 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/la-marsa/59973.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",570 000 DT,Etage de villa en vente,La Marsa,4 pièces,138 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-manouba/59824.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",185 000 DT,S+3 en vente,"La Manouba, Cité Kortoba - Manouba",4 pièces,120 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-mourouj/61729.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",250 000 DT,S+3 en vente,El Mourouj - El Mourouj 6,4 pièces,115 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/61664.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",410 000 DT,Terrain habitation ind. en vente,La Soukra - Soukra,550 m²,550 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-soukra/61682.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",350 000 DT,S+2 en vente,La Soukra - Chotrana,3 pièces,124 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-mourouj/61260.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",290 000 DT,S+2 en vente,El Mourouj - El Mourouj 6,3 pièces,101 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/le-bardo/52241.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",450 000 DT,S+3 en vente,Le Bardo - St Clement,4 pièces,130 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/le-bardo/52242.html,https://cdn-media.medialabtc.it/tn/agencies/tucg1/estates/52242/images/263437/gallery_media.jpeg,450 000 DT,S+3 en vente,Le Bardo - St Clement,4 pièces,130 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/le-bardo/52243.html,https://cdn-media.medialabtc.it/tn/agencies/tucg1/estates/52243/images/263456/gallery_media.jpeg,450 000 DT,S+3 en vente,Le Bardo - St Clement,4 pièces,130 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/gammarth/61464.html,https://cdn-media.medialabtc.it/tn/agencies/tugm2/estates/61464/images/349431/gallery_media.jpeg,750 000 DT,Terrain habitation ind. en vente,Gammarth - Gammarth Village,474 m²,474 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/el-menzah/55535.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 055 000 DT,Villa individuelle en vente,El Menzah - Menzah 5,483 m²,483 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/el-menzah/55609.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 850 000 DT,Villa inachevée en vente,El Menzah - Menzah 5,450 m²,450 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/la-manouba/60342.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",710 000 DT,Villa individuelle en vente,"La Manouba, Cités les orangers - Manouba",242 m²,242 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/mutuelleville/61431.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 950 000 DT,Terrain habitation ind. en vente,Mutuelleville,681 m²,681 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/mutuelleville/61587.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 850 000 DT,Villa individuelle en vente,Mutuelleville,538 m²,538 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/lafayette-centre-ville/54350.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",92 000 DT,S+2 en vente,Lafayette Centre Ville - Lafayette,3 pièces,47 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-soukra/60881.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",360 000 DT,S+3 en vente,La Soukra - Soukra,4 pièces,150 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-soukra/58941.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",360 000 DT,S+2 en vente,La Soukra - Soukra,2 pièces,100 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/carthage/61451.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 800 000 DT,Villa individuelle en vente,Carthage,6 pièces,175 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/mutuelleville/60104.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",280 000 DT,S+2 en vente,Mutuelleville - Notre Dame,3 pièces,72 m²,Grand Tunis
